Index,Make,Model,Variant,Ex-Showroom_Price,Displacement,Cylinders,Valves_Per_Cylinder,Drivetrain,Cylinder_Configuration,Emission_Norm,Engine_Location,Fuel_System,Fuel_Tank_Capacity,Fuel_Type,Height,Length,Width,Body_Type,Doors,City_Mileage,Highway_Mileage,ARAI_Certified_Mileage,ARAI_Certified_Mileage_for_CNG,Kerb_Weight,Gears,Ground_Clearance,Front_Brakes,Rear_Brakes,Power_Steering,Power_Windows,Power,Torque,Speedometer,Type,Wheelbase,Wheels_Size,Basic_Warranty,Ventilation_System,Column1,_1,ABS_(Anti-lock_Braking_System),Gross_Vehicle_Weight,Airbags,Number_of_Airbags,Compression_Ratio,Parking_Assistance,Average_Speed,_2,_3,_4,_5,_6,_7,_8,_9,_10,_11,_12,_13,_14,_15,_16,_17,_18,_19,_20,_21,_22,_23,_24,_25,_26,_27,_28,_29,_30,_31,_32,_33,_34,_35,_36,_37,_38,_39,_40,_41,_42,_43,_44,_45,_46,_47,_48,_49,_50,_51,_52,_53,_54,_55,_56,_57
165,Maruti Suzuki,Dzire,Vdi Amt,"Rs. 8,04,622",1248 cc,4,4,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,37 litres,Diesel,1515 mm,3995 mm,1735 mm,Sedan,4,28.4 km/litre,,28.4 km/litre,,967 kg,5,163 mm,Ventilated Disc,Drum,Electric Power,All Windows,75PS@4000rpm,190Nm@2000rpm,Analog,Automatic,2450 mm,165/80R14,2 years /40000 Kms (years/distance whichever comes first),Manual Air conditioning with cooling and heating,,,Yes,1405 kg,"Driver frontal airbag, Front passenger frontal airbag",2,17.6:1,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,Maruti Suzuki,Dzire,Zdi Plus Amt,"Rs. 9,52,622",1248 cc,4,4,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,37 litres,Diesel,1515 mm,3995 mm,1735 mm,Sedan,4,28.4 km/litre,,28.4 km/litre,,990 kg,5,163 mm,Ventilated Disc,Drum,Electric Power,All Windows,75PS@4000rpm,190Nm@2000rpm,Analog,Automatic,2450 mm,185/65R15,2 years /40000 Kms (years/distance whichever comes first),Fully automatic climate control,,,Yes,1405 kg,"Driver frontal airbag, Front passenger frontal airbag",2,17.6:1,Rear sensors with camera,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196,Toyota,Platinum Etios,G,"Rs. 6,27,100",1496 cc,4,4,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,45 litres,Petrol,1510 mm,4369 mm,1695 mm,Sedan,4,"13,6 km/litre",16.3 km/litre,16.78 km/litre,,935 kg,5,170 mm,Ventilated Disc,Drum,Electric Power,All Windows,90PS@5600rpm,132Nm@3000rpm,Analog,Manual,2550 mm,175/70R15,3 years /100000 Kms (years/distance whichever comes first),Manual Air conditioning with cooling and heating,,,Yes,1285 kg,"Driver frontal airbag, Front passenger frontal airbag",2,16.5:1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197,Toyota,Platinum Etios,V,"Rs. 7,18,600",1496 cc,4,4,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,45 litres,Petrol,1510 mm,4369 mm,1695 mm,Sedan,4,"13,6 km/litre",16.7 km/litre,16.78 km/litre,,935 kg,5,170 mm,Ventilated Disc,Drum,Electric Power,All Windows,90PS@5600rpm,132Nm@3000rpm,Analog,Manual,2550 mm,185/60R15,3 years /100000 Kms (years/distance whichever comes first),Manual Air conditioning with cooling and heating,,,Yes,1285 kg,"Driver frontal airbag, Front passenger frontal airbag",2,16.5:1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198,Toyota,Platinum Etios,Gd,"Rs. 7,34,700",1364 cc,4,2,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,45 litres,Diesel,1510 mm,4369 mm,1695 mm,Sedan,4,20.32 km/litre,23.59 km/litre,23.59 km/litre,,1020 kg,5,170 mm,Ventilated Disc,Drum,Electric Power,All Windows,68PS@3800rpm,170Nm@1800-2400rpm,Analog,Manual,2550 mm,175/70R15,3 years /100000 Kms (years/distance whichever comes first),Manual Air conditioning with cooling and heating,,,Yes,1650 kg,"Driver frontal airbag, Front passenger frontal airbag",2,16.5:1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199,Toyota,Platinum Etios,Vd,"Rs. 8,28,600",1364 cc,4,2,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,45 litres,Diesel,1510 mm,4369 mm,1695 mm,Sedan,4,20.3 km/litre,23.6 km/litre,23.59 km/litre,,1020 kg,5,170 mm,Ventilated Disc,Drum,Electric Power,All Windows,68PS@3800rpm,170Nm@1800-2400rpm,Analog,Manual,2550 mm,185/60R15,3 years /100000 Kms (years/distance whichever comes first),Manual Air conditioning with cooling and heating,,,Yes,1650 kg,"Driver frontal airbag, Front passenger frontal airbag",2,16.5:1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,Toyota,Platinum Etios,Vxd,"Rs. 8,88,400",1364 cc,4,2,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,45 litres,Diesel,1510 mm,4369 mm,1695 mm,Sedan,4,20.32 km/litre,23.08 km/litre,23.59 km/litre,,1020 kg,5,170 mm,Ventilated Disc,Drum,Electric Power,All Windows,68PS@3800rpm,170Nm@1800-2400rpm,Analog,Manual,2550 mm,185/60R15,3 years /100000 Kms (years/distance whichever comes first),Manual Air conditioning with cooling and heating,,,Yes,,"Driver frontal airbag, Front passenger frontal airbag",2,,Rear sensors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,Toyota,Platinum Etios,Vx,"Rs. 7,78,400",1496 cc,4,4,FWD (Front Wheel Drive),In-line,BS IV,"Front, Longitudinal",Injection,45 litres,Petrol,1510 mm,4369 mm,1695 mm,Sedan,4,"13,6 km/litre",16.3 km/litre,16.78 km/litre,,990 kg,5,170 mm,Ventilated Disc,Drum,Hydraulic Power,All Windows,90PS@5600rpm,132Nm@3000rpm,Analog,Manual,2550 mm,185/60R15,,Manual Air conditioning with cooling and heating,,,Yes,,"Driver frontal airbag, Front passenger frontal airbag",2,,Rear sensors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202,Toyota,Platinum Etios,Gx,"Rs. 6,89,600",1496 cc,4,4,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,45 litres,Petrol,1510 mm,4369 mm,1695 mm,Sedan,4,13.6 km/litre,16.3 km/litre,16.78 km/litre,,935 kg,5,170 mm,Ventilated Disc,Drum,Electric Power,All Windows,90PS@5600rpm,132Nm@3000rpm,Analog,Manual,2550 mm,175/70R15,3 years /100000 Kms (years/distance whichever comes first),Manual Air conditioning with cooling and heating,,,Yes,1285 kg,"Driver frontal airbag, Front passenger frontal airbag",2,16.5:1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,Toyota,Platinum Etios,Gxd,"Rs. 7,99,600",1364 cc,4,2,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,45 litres,Diesel,1510 mm,4369 mm,1695 mm,Sedan,4,20.3 km/litre,23.6 km/litre,23.59 km/litre,,1020 kg,5,170 mm,Ventilated Disc,Drum,Electric Power,All Windows,68PS@3800rpm,170Nm@1800-2400rpm,Analog,Manual,2550 mm,185/60R15,3 years /100000 Kms (years/distance whichever comes first),Manual Air conditioning with cooling and heating,,,Yes,1650 kg,"Driver frontal airbag, Front passenger frontal airbag",2,16.5:1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204,Toyota,Platinum Etios,Vxd Limited Edition,"Rs. 9,13,400",1364 cc,4,2,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,45 litres,Diesel,1510 mm,4369 mm,1695 mm,Sedan,4,20.32 km/litre,23.08 km/litre,23.59 km/litre,,1020 kg,5,170 mm,Ventilated Disc,Drum,Electric Power,All Windows,68PS@3800rpm,170Nm@1800-2400rpm,Analog,Manual,2550 mm,185/60R15,3 years /100000 Kms (years/distance whichever comes first),Manual Air conditioning with cooling and heating,,,Yes,,"Driver frontal airbag, Front passenger frontal airbag",2,,Rear sensors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205,Toyota,Platinum Etios,Vx Limited Edition,"Rs. 8,03,400",1496 cc,4,4,FWD (Front Wheel Drive),In-line,BS IV,"Front, Longitudinal",Injection,45 litres,Petrol,1510 mm,4369 mm,1695 mm,Sedan,4,13.6 km/litre,16.3 km/litre,16.78 km/litre,,990 kg,5,170 mm,Ventilated Disc,Drum,Hydraulic Power,All Windows,90PS@5600rpm,132Nm@3000rpm,Analog,Manual,2550 mm,185/60R15,,Manual Air conditioning with cooling and heating,,,Yes,,"Driver frontal airbag, Front passenger frontal airbag",2,,Rear sensors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206,Toyota,Etios Cross,V,"Rs. 8,02,000",1496 cc,4,4,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,45 litres,Petrol,1555 mm,3895 mm,1735 mm,Hatchback,5,15 km/litre,16 km/litre,16.78 km/litre,,950 kg,5,174 mm,Ventilated Disc,Drum,Electric Power,All Windows,90PS@5600rpm,132Nm@3000rpm,Analog,Manual,2460 mm,185/60R15,3 years /100000 Kms (years/distance whichever comes first),Manual Air conditioning with cooling and heating,,,Yes,,"Driver frontal airbag, Front passenger frontal airbag",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,Toyota,Etios Cross,G,"Rs. 6,50,000",1197 cc,4,4,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,45 litres,Petrol,1555 mm,3895 mm,1735 mm,Hatchback,5,"16,78 km/litre",,17.71 km/litre,,935 kg,5,174 mm,Ventilated Disc,Drum,Electric Power,All Windows,80PS@5600rpm,104Nm@3100rpm,Analog,Manual,2460 mm,185/60R15,3 years /100000 Kms (years/distance whichever comes first),Manual Air conditioning with cooling and heating,,,,,"Driver frontal airbag, Front passenger frontal airbag",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208,Toyota,Etios Cross,Vd,"Rs. 7,97,500",1364 cc,4,2,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,45 litres,Diesel,1555 mm,3895 mm,1735 mm,Hatchback,5,18.1 km/litre,22.5 km/litre,23.59 km/litre,,1030 kg,5,174 mm,Ventilated Disc,Drum,Electric Power,All Windows,68PS@3800rpm,170Nm@1800-2400rpm,Analog,Manual,2460 mm,185/60R15,3 years /100000 Kms (years/distance whichever comes first),Manual Air conditioning with cooling and heating,,,Yes,,"Driver frontal airbag, Front passenger frontal airbag",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,Toyota,Etios Cross,Gd,"Rs. 7,66,000",1364 cc,4,2,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,45 litres,Diesel,1555 mm,3895 mm,1735 mm,Hatchback,5,18.1 km/litre,22.5 km/litre,23.59 km/litre,,1015 kg,5,174 mm,Ventilated Disc,Drum,Electric Power,All Windows,68PS@3800rpm,170Nm@1800-2400rpm,Analog,Manual,2460 mm,185/60R15,3 years /100000 Kms (years/distance whichever comes first),Manual Air conditioning with cooling and heating,,,Yes,,"Driver frontal airbag, Front passenger frontal airbag",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210,Toyota,Etios Cross,1.2 X Edition,"Rs. 6,68,500",1197 cc,4,4,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,45 litres,Petrol,1555 mm,3895 mm,1735 mm,Hatchback,5,16.78 km/litre,,17.71 km/litre,,935 kg,5,174 mm,Ventilated Disc,Drum,Electric Power,All Windows,80PS@5600rpm,104Nm@3100rpm,Analog,Manual,2460 mm,185/60R15,3 years /100000 Kms (years/distance whichever comes first),Manual Air conditioning with cooling and heating,,,,,"Driver frontal airbag, Front passenger frontal airbag",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211,Toyota,Etios Cross,1.4 X Edition,"Rs. 8,16,000",1364 cc,4,2,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,45 litres,Diesel,1555 mm,3895 mm,1735 mm,Hatchback,5,18.1 km/litre,22.5 km/litre,23.59 km/litre,,1015 kg,5,174 mm,Ventilated Disc,Drum,Electric Power,All Windows,68PS@3800rpm,170Nm@1800-2400rpm,Analog,Manual,2460 mm,185/60R15,3 years /100000 Kms (years/distance whichever comes first),Manual Air conditioning with cooling and heating,,,Yes,,"Driver frontal airbag, Front passenger frontal airbag",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212,Mahindra,Verito Vibe,D2,"Rs. 6,57,628",1461 cc,4,2,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,50 litres,Diesel,1540 mm,3991 mm,1740 mm,Hatchback,5,18 km/litre,20.08 km/litre,20.08 km/litre,,1155 kg,5,172 mm,Solid Disc,Drum,Yes,,65PS@4000rpm,160Nm@2000rpm,Analog,Manual,2630 mm,185/70R14,"2 Years / 50,000 Kms (Whichever comes earlier)",Manual Air conditioning with cooling and heating,,,,1655 kg,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
213,Mahindra,Verito Vibe,D4,"Rs. 6,85,729",1461 cc,4,2,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,50 litres,Diesel,1540 mm,3991 mm,1740 mm,Hatchback,5,18 km/litre,20.08 km/litre,20.08 km/litre,,1155 kg,5,172 mm,Solid Disc,Drum,Yes,All Windows,65PS@4000rpm,160Nm@2000rpm,Analog,Manual,2630 mm,185/70R14,"2 Years / 50,000 Kms (Whichever comes earlier)",Manual Air conditioning with cooling and heating,,,,1655 kg,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,Mahindra,Verito Vibe,D6,"Rs. 7,50,428",1461 cc,4,2,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,50 litres,Diesel,1540 mm,3991 mm,1740 mm,Hatchback,5,18 km/litre,20.08 km/litre,20.08 km/litre,,1155 kg,5,172 mm,Solid Disc,Drum,Yes,All Windows,65PS@4000rpm,160Nm@2000rpm,Analog,Manual,2630 mm,185/70R14,"2 Years / 50,000 Kms (Whichever comes earlier)",Manual Air conditioning with cooling and heating,,,Yes,1655 kg,Driver frontal airbag,1,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219,Toyota,Glanza,G Hybrid,"Rs. 7,21,900",1197 cc,4,,FWD (Front Wheel Drive),In-line,BS 6,"Front, Longitudinal",Injection,37 litres,Petrol,1540 mm,3995 mm,1745 mm,Hatchback,5,,,23.87 km/litre,,910 kg,5,,Ventilated Disc,Drum,Electric Power,All Windows,89PS@6000 rpm,113Nm@4400 rpm,"Analog, Digital",Manual,2520 mm,195 / 55 R16,,2 Zone Climate Control,,,Yes,1360 kg,"Driver frontal airbag, Front passenger frontal airbag",2,,Rear sensors,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220,Toyota,Glanza,V,"Rs. 7,58,200",1197 cc,4,,FWD (Front Wheel Drive),In-line,BS 6,"Front, Longitudinal",Injection,37 litres,Petrol,1540 mm,3995 mm,1745 mm,Hatchback,5,,,21.01 km/litre,,890 kg,5,,Ventilated Disc,Drum,Electric Power,All Windows,82PS@6000 rpm,113Nm@4200 rpm,"Analog, Digital",Manual,2520 mm,195 / 55 R16,,2 Zone Climate Control,,,Yes,1340 kg,"Driver frontal airbag, Front passenger frontal airbag",2,,Rear sensors with camera,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221,Toyota,Glanza,G Cvt,"Rs. 8,29,900",1197 cc,4,,FWD (Front Wheel Drive),In-line,BS 6,"Front, Longitudinal",Injection,37 litres,Petrol,1540 mm,3995 mm,1745 mm,Hatchback,5,,,19.56 km/litre,,935 kg,5,,Ventilated Disc,Drum,Electric Power,All Windows,82PS@6000 rpm,113Nm@4200 rpm,Digital,CVT,2520 mm,195 / 55 R16,,2 Zone Climate Control,,,Yes,1360 kg,"Driver frontal airbag, Front passenger frontal airbag",2,,Rear sensors,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222,Toyota,Glanza,V Cvt,"Rs. 8,90,200",1197 cc,4,,FWD (Front Wheel Drive),In-line,BS 6,"Front, Longitudinal",Injection,37 litres,Petrol,1540 mm,3995 mm,1745 mm,Hatchback,5,,,19.56 km/litre,,935 kg,5,,Ventilated Disc,Drum,"Electric Power, Hydraulic Power",All Windows,82PS@6000 rpm,113Nm@4200 rpm,"Analog, Digital",CVT,2520 mm,195 / 55 R16,,2 Zone Climate Control,,,Yes,1360 kg,"Driver frontal airbag, Front passenger frontal airbag",2,,Rear sensors with camera,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223,Toyota,Glanza,G Mt,"Rs. 6,97,900",1197 cc,4,,FWD (Front Wheel Drive),In-line,BS 6,"Front, Longitudinal",Injection,37 litres,Petrol,1540 mm,3995 mm,1745 mm,Hatchback,5,,,19.56 km/litre,,935 kg,5,,Ventilated Disc,Drum,Electric Power,All Windows,82PS@6000 rpm,113Nm@4200 rpm,Digital,Manual,2520 mm,195 / 55 R16,,2 Zone Climate Control,,,Yes,1360 kg,"Driver frontal airbag, Front passenger frontal airbag",2,,Rear sensors,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
227,Honda,Jazz,V Petrol,"Rs. 7,45,000",1199 cc,4,4,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,40 litres,Petrol,1544 mm,3955 mm,1694 mm,Hatchback,5,11.3 km/litre,,18.2 km/litre,,1042 kg,5,165 mm,Ventilated Disc,Drum,Electric Power,All Windows,90PS@6000rpm,110Nm@4800rpm,Analog,Manual,2530 mm,175/65R15,"2 Years / 40,000 Kms (Whichever comes earlier)",Fully automatic climate control,,,Yes,,"Driver frontal airbag, Front passenger frontal airbag",2,,Rear sensors with camera,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
228,Honda,Jazz,Vx Cvt,"Rs. 9,09,000",1199 cc,4,4,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,40 litres,Petrol,1544 mm,3955 mm,1694 mm,Hatchback,5,11.3 km/litre,,19 km/litre,,1066 kg,5,165 mm,Ventilated Disc,Drum,Electric Power,All Windows,90PS@6000rpm,110Nm@4800rpm,Analog,Automatic,2530 mm,175/65R15,"2 Years / 40,000 Kms (Whichever comes earlier)",Fully automatic climate control,,,Yes,,"Driver frontal airbag, Front passenger frontal airbag",2,,Rear sensors with camera,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
229,Honda,Jazz,Vx Petrol,"Rs. 7,89,000",1199 cc,4,4,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,40 litres,Petrol,1544 mm,3955 mm,1694 mm,Hatchback,5,11.3 km/litre,,18.2 km/litre,,1044 kg,5,165 mm,Ventilated Disc,Drum,Electric Power,All Windows,90PS@6000rpm,110Nm@4800rpm,Analog,Manual,2530 mm,175/65R15,"2 Years / 40,000 Kms (Whichever comes earlier)",Fully automatic climate control,,,Yes,,"Driver frontal airbag, Front passenger frontal airbag",2,,Rear sensors with camera,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230,Honda,Jazz,V Cvt,"Rs. 8,65,000",1199 cc,4,4,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,40 litres,Petrol,1544 mm,3955 mm,1694 mm,Hatchback,5,11.3 km/litre,,19 km/litre,,1064 kg,5,165 mm,Ventilated Disc,Drum,Electric Power,All Windows,90PS@6000rpm,110Nm@4800rpm,Analog,Automatic,2530 mm,175/65R15,"2 Years / 40,000 Kms (Whichever comes earlier)",Fully automatic climate control,,,Yes,,"Driver frontal airbag, Front passenger frontal airbag",2,,Rear sensors with camera,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
231,Honda,Jazz,S Diesel,"Rs. 8,16,500",1498 cc,4,4,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,40 litres,Diesel,1544 mm,3955 mm,1694 mm,Hatchback,5,12 km/litre,,27.3 km/litre,,1139 kg,6,165 mm,Ventilated Disc,Drum,Electric Power,All Windows,100PS@3600rpm,200Nm@1750rpm,Analog,Manual,2530 mm,R15,"2 Years / 40,000 Kms (Whichever comes earlier)",Manual Air conditioning with cooling and heating,,,Yes,,"Driver frontal airbag, Front passenger frontal airbag",2,,Rear sensors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
232,Honda,Jazz,V Diesel,"Rs. 8,96,500",1498 cc,4,4,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,40 litres,Diesel,1544 mm,3955 mm,1694 mm,Hatchback,5,12 km/litre,,27.3 km/litre,,1146 kg,6,165 mm,Ventilated Disc,Drum,Electric Power,All Windows,100PS@3600rpm,200Nm@1750rpm,Analog,Manual,2530 mm,175/65R15,"2 Years / 40,000 Kms (Whichever comes earlier)",Fully automatic climate control,,,Yes,,"Driver frontal airbag, Front passenger frontal airbag",2,,Rear sensors with camera,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
233,Honda,Jazz,Vx Diesel,"Rs. 9,40,500",1498 cc,4,4,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,40 litres,Diesel,1544 mm,3955 mm,1694 mm,Hatchback,5,12 km/litre,,27.3 km/litre,,1155 kg,6,165 mm,Ventilated Disc,Drum,Electric Power,All Windows,100PS@3600rpm,200Nm@1750rpm,Analog,Manual,2530 mm,175/65R15,"2 Years / 40,000 Kms (Whichever comes earlier)",Fully automatic climate control,,,Yes,,"Driver frontal airbag, Front passenger frontal airbag",2,,Rear sensors with camera,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
234,Honda,Jazz,Exclusive Edition Cvt,"Rs. 9,28,000",1199 cc,4,4,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,40 litres,Petrol,1544 mm,3955 mm,1694 mm,Hatchback,5,,,18.2 km/litre,,1066 kg,5,165 mm,Ventilated Disc,Drum,Electric Power,All Windows,89 bhp@6000rpm,110 Nm@4800rpm,Analog,Automatic,2530 mm,175/65R15,"2 Years / 40,000 Kms (Whichever comes earlier)",Fully automatic climate control,,,Yes,,"Driver frontal airbag, Front passenger frontal airbag",2,10.1:1,Rear sensors with camera,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
239,Mahindra,Alturas G4,2Wd At,"Rs. 27,70,150",2157 cc,4,,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,70 litres,Diesel,1845 mm,4850 mm,1960 mm,,,,,12.35 km/litre,,,7,,Ventilated Disc,Ventilated Disc,Electric Power,Only Front Windows,178bhp@400rpm,420Nm@1600-2600rpm,Digital,Automatic,2865 mm,255/60 R18,,2 Zone Climate Control,,,Yes,,"Driver frontal airbag, Front passenger frontal airbag",2,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
240,Mahindra,Alturas G4,4Wd At,"Rs. 30,70,150",2157 cc,4,4,4WD,In-line,,"Front, Transverse",Injection,70 litres,Diesel,1.845 mm,4850 mm,1960 mm,SUV,5,,,12.05 km/litre,,,7,,Ventilated Disc,Ventilated Disc,Electric Power,All Windows,178Bhp @ 4000,420Nm @1600-2600,Digital,Automatic,2865 mm,,,2 Zone Climate Control,,,Yes,,"Front passenger curtain airbag, Driver curtain airbag, Rear passenger curtain airbags, Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag, Rear passenger side airbags, Driver knee airbag, Drive side airbag",9,,Front & rear sensors with 360 degree view,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243,Honda,Cr-V,2Wd Petrol Cvt,"Rs. 28,27,001",1997 cc,4,,FWD (Front Wheel Drive),In-line,,"Front, Transverse",Injection,57 litres,Petrol,1679 mm,4592 mm,1855 mm,SUV,5,,,14.4 km/litre,,,7,198 mm,Ventilated Disc,Solid Disc,Electric Power,All Windows,154PS@6500rpm,189NM@4300rpm,Digital,Automatic,2660 mm,,,2 Zone Climate Control,,,Yes,,"Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag, Drive side airbag, Driver curtain airbag, Rear passenger center airbag, Curtain airbags",6,,Front and rear sensors with camera,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
244,Honda,Cr-V,2Wd Diesel At,"Rs. 30,67,001",1597 cc,,4,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,57 litres,Diesel,1679 mm,4592 mm,1855 mm,SUV,5,,,19.5 km/litre,,,9,198 mm,Ventilated Disc,Ventilated Disc,Electric Power,All Windows,120PS@4000RPM,300NM@2000rpm,Digital,Automatic,2660 mm,,,2 Zone Climate Control,,,Yes,,"Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag, Drive side airbag, Driver curtain airbag, Rear passenger curtain airbags, Curtain airbags",6,,Front and rear sensors with camera,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
