Index,Make,Model,Variant,Ex-Showroom_Price,Displacement,Cylinders,Valves_Per_Cylinder,Drivetrain,Cylinder_Configuration,Emission_Norm,Engine_Location,Fuel_System,Fuel_Tank_Capacity,Fuel_Type,Height,Length,Width,Body_Type,Doors,City_Mileage,Highway_Mileage,ARAI_Certified_Mileage,ARAI_Certified_Mileage_for_CNG,Kerb_Weight,Gears,Ground_Clearance,Front_Brakes,Rear_Brakes,Power_Steering,Power_Windows,Power,Torque,Speedometer,Type,Wheelbase,Wheels_Size,Basic_Warranty,Ventilation_System,Column1,_1,ABS_(Anti-lock_Braking_System),Gross_Vehicle_Weight,Airbags,Number_of_Airbags,Compression_Ratio,Parking_Assistance,Average_Speed,_2,_3,_4,_5,_6,_7,_8,_9,_10,_11,_12,_13,_14,_15,_16,_17,_18,_19,_20,_21,_22,_23,_24,_25,_26,_27,_28,_29,_30,_31,_32,_33,_34,_35,_36,_37,_38,_39,_40,_41,_42,_43,_44,_45,_46,_47,_48,_49,_50,_51,_52,_53,_54,_55,_56,_57
107,Tata,Bolt,Xms Diesel,"Rs. 7,19,661",1248 cc,4,4,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,44 litres,Diesel,1562 mm,3825 mm,1695 mm,Hatchback,5,"22,95 km/litre",,22.95 km/litre,,1132 kg,5,165 mm,Solid Disc,Drum,Electric Power,All Windows,75PS@4000rpm,190Nm@1750-3000rpm,Analog,Manual,2470 mm,175/65 R14,2 years /75000 Kms (years/distance whichever comes first),Manual Air conditioning with cooling and heating,,,Yes,1160 kg,"Driver frontal airbag, Front passenger frontal airbag",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,Tata,Bolt,Xt Petrol,"Rs. 6,74,960",1193 cc,4,4,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,44 litres,Petrol,1562 mm,3825 mm,1695 mm,Hatchback,5,"17,57 km/litre",,17.57 km/litre,,1095 kg,5,165 mm,Solid Disc,Drum,Electric Power,All Windows,90PS@5000rpm,140Nm@1500-4000rpm,Analog,Manual,2470 mm,175/65 R15,2 years /75000 Kms (years/distance whichever comes first),Fully automatic climate control,,,Yes,1125 kg,"Driver frontal airbag, Front passenger frontal airbag",2,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,Tata,Bolt,Xe Petrol,"Rs. 5,29,035",1193 cc,4,4,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,44 litres,Petrol,1562 mm,3825 mm,1695 mm,Hatchback,5,"17,57 km/litre",,17.57 km/litre,,1095 kg,5,165 mm,Solid Disc,Drum,Electric Power,,90PS@5000rpm,140Nm@1500-4000rpm,Analog,Manual,2470 mm,175/65 R14,2 years /75000 Kms (years/distance whichever comes first),Manual Air conditioning with cooling and heating,,,,1125 kg,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,Tata,Bolt,Xm Petrol,"Rs. 5,90,268",1193 cc,4,4,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,44 litres,Petrol,1562 mm,3825 mm,1695 mm,Hatchback,5,"17,57 km/litre",,17.57 km/litre,,1095 kg,5,165 mm,Solid Disc,Drum,Electric Power,All Windows,90PS@5000rpm,140Nm@1500-4000rpm,Analog,Manual,2470 mm,175/ 65 R14,2 years /75000 Kms (years/distance whichever comes first),Manual Air conditioning with cooling and heating,,,Yes,1125 kg,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,Tata,Bolt,Xms Petrol,"Rs. 6,14,515",1193 cc,4,4,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,44 litres,Petrol,1562 mm,3825 mm,1695 mm,Hatchback,5,"17,57 km/litre",,17.57 km/litre,,1095 kg,5,165 mm,Solid Disc,Drum,Electric Power,All Windows,90PS@5000rpm,140Nm@1500-4000rpm,Analog,Manual,2470 mm,175/ 65 R14,2 years /75000 Kms (years/distance whichever comes first),Manual Air conditioning with cooling and heating,,,Yes,1125 kg,"Driver frontal airbag, Front passenger frontal airbag",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,Hyundai,Xcent Prime,Cng T + (Cng +,"Rs. 5,56,130",1197 cc,4,4,FWD (Front Wheel Drive),In-line,BS IV,"Front, Longitudinal",Injection,43 litres,CNG + Petrol,1520 mm,3995 mm,1660 mm,Sedan,4,,,,25 km/kg,1100 kg,5,165 mm,Ventilated Disc,Drum,Electric Power,Only Front Windows,83PS@6000rpm,114Nm@6000rpm,Analog,Manual,2425 mm,165/65R14,,Manual Air conditioning with cooling and heating,,,Yes,1530 kg,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,Hyundai,Xcent Prime,T,"Rs. 5,36,859",1197 cc,4,4,FWD (Front Wheel Drive),In-line,BS IV,"Front, Longitudinal",Injection,43 litres,Petrol,1520 mm,3995 mm,1660 mm,Sedan,4,,,15.7 km/litre,,1100 kg,5,165 mm,Ventilated Disc,Drum,Electric Power,,83PS@6000rpm,114Nm@6000rpm,Analog,Manual,2425 mm,165/65R14,,Yes,,,,1530 kg,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,Hyundai,Xcent Prime,T+,"Rs. 5,56,130",1197 cc,4,4,FWD (Front Wheel Drive),In-line,BS IV,"Front, Longitudinal",Injection,43 litres,Petrol,1520 mm,3995 mm,1660 mm,Sedan,4,,15.7 km/litre,,,1100 kg,5,165 mm,Ventilated Disc,Drum,Electric Power,Only Front Windows,83PS@6000rpm,114Nm@6000rpm,Analog,Manual,2425 mm,165/65R14,,Manual Air conditioning with cooling and heating,,,Yes,1530 kg,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,Hyundai,Xcent Prime,Cng T (Cng +,"Rs. 5,36,859",1197 cc,4,4,FWD (Front Wheel Drive),In-line,BS IV,"Front, Longitudinal",Injection,43 litres,CNG + Petrol,1520 mm,3995 mm,1660 mm,Sedan,4,,,,25 km/kg,1100 kg,5,165 mm,Ventilated Disc,Drum,Electric Power,Only Front Windows,81.8bhp@6000rpm,114Nm@6000rpm,Analog,Manual,2425 mm,165/65R14,,Manual Air conditioning with cooling and heating,,,Yes,1530 kg,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,Hyundai,Xcent Prime,T+ Crdi,"Rs. 6,39,616",1197 cc,4,4,FWD (Front Wheel Drive),In-line,BS IV,"Front, Longitudinal",Injection,43 litres,Diesel,1520 mm,3995 mm,1660 mm,Sedan,4,,,20.14 km/litre,,1100 kg,5,165 mm,Ventilated Disc,Drum,Electric Power,Only Front Windows,70bhp@4000RPM,114Nm@6000rpm,Analog,Manual,2425 mm,165/65R14,,Yes,,,,1530 kg,"Driver frontal airbag, Front passenger frontal airbag",2,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,Hyundai,Xcent Prime,T Crdi,"Rs. 6,20,297",1197 cc,4,4,FWD (Front Wheel Drive),In-line,BS IV,"Front, Longitudinal",Injection,43 litres,Diesel,1520 mm,3995 mm,1660 mm,Sedan,4,,,20 km/litre,,1100 kg,5,165 mm,Ventilated Disc,Drum,Electric Power,Only Front Windows,71PS@4000rpm,114Nm@6000rpm,Analog,Manual,2425 mm,165/65R14,,Yes,,,,1530 kg,"Driver frontal airbag, Front passenger frontal airbag",2,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,Maruti Suzuki,Dzire Tour,Ldi,"Rs. 6,53,523",1248 cc,4,4,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,42 litres,Diesel,1555 mm,3995 mm,1695 mm,Sedan,4,14.6 km/litre,19.8 km/litre,28.4 km/litre,,1045 kg,,170 mm,Ventilated Disc,Drum,Electric Power,Only Front Windows,75PS@4000rpm,190Nm@2000rpm,Analog,Manual,2430 mm,165/80R14,2 years /40000 Kms (years/distance whichever comes first),Manual Air conditioning with cooling and heating,,,,1505 kg,,,17.6:1,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,Maruti Suzuki,Dzire Tour,Lxi,"Rs. 5,53,423",1197 cc,4,4,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,42 litres,Petrol,1555 mm,3995 mm,1695 mm,Sedan,4,16.3 km/litre,19.1 km/litre,22 km/litre,,935 kg,5,170 mm,Ventilated Disc,Drum,Electric Power,,83PS@6000rpm,115Nm@4000rpm,Analog,Manual,2430 mm,165/80R14,2 years /40000 Kms (years/distance whichever comes first),Manual Air conditioning with cooling and heating,,,,1415 kg,,,11.0:1,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,Maruti Suzuki,Dzire Tour,Lxi Cng,"Rs. 5,98,940",1197 cc,4,4,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,42 litres,CNG,1555 mm,3995 mm,1695 mm,Sedan,4,,,,26.6 km/kg,935 kg,5,170 mm,Ventilated Disc,Drum,Electric Power,,69bhp@6000rpm,115Nm@4000rpm,Analog,Manual,2430 mm,165/80R14,2 years /40000 Kms (years/distance whichever comes first),Manual Air conditioning with cooling and heating,,,,1415 kg,,,11.0:1,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,Hyundai,Elite I20,Era 1.2,"Rs. 5,59,693",1197 cc,4,4,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,45 litres,Petrol,1505 mm,3995 mm,1710 mm,Hatchback,5,13.3 km/litre,18.6 km/litre,18.6 km/litre,,1066 kg,5,165 mm,Ventilated Disc,Drum,Electric Power,Only Front Windows,84PS@6000rpm,115Nm@4000rpm,Analog,Manual,2525 mm,185/70R14,2 years / Unlimited Kms,Manual Air conditioning with cooling and heating,,,Yes,1170 kg,"Driver frontal airbag, Front passenger frontal airbag",2,10.5:1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,Hyundai,Elite I20,Era 1.4 Crdi,"Rs. 6,97,803",1396 cc,4,4,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,45 litres,Diesel,1505 mm,3985 mm,1734 mm,Hatchback,5,18.4 km/litre,22.54 km/litre,22.54 km/litre,,1510 kg,6,170 mm,Ventilated Disc,Drum,Electric Power,Only Front Windows,90PS@4000rpm,220Nm@1500rpm,Analog,Manual,2570 mm,185/70R14,2 years / Unlimited Kms,Manual Air conditioning with cooling and heating,,,Yes,1170 kg,"Driver frontal airbag, Front passenger frontal airbag",2,10.5:1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,Hyundai,Elite I20,Magna Plus,"Rs. 6,34,950",1197 cc,4,4,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,45 litres,Petrol,1505 mm,3985 mm,1734 mm,Hatchback,5,13.3 km/litre,18.5 km/litre,18.6 km/litre,,1058 kg,5,170 mm,Ventilated Disc,Drum,Electric Power,All Windows,84PS@6000rpm,115Nm@4000rpm,Analog,Manual,2570 mm,185/70R14,2 years / Unlimited Kms,Manual Air conditioning with cooling and heating,,,Yes,1170 kg,"Driver frontal airbag, Front passenger frontal airbag",2,10.5:1,Rear sensors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,Hyundai,Elite I20,Magna Plus Crdi,"Rs. 7,70,803",1396 cc,4,4,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,45 litres,Diesel,1505 mm,3985 mm,1734 mm,Hatchback,5,18.4 km/litre,22.54 km/litre,22.54 km/litre,,1510 kg,6,170 mm,Ventilated Disc,Drum,Electric Power,All Windows,90PS@4000rpm,220Nm@1500rpm,Analog,Manual,2570 mm,185/70R14,2 years / Unlimited Kms,Manual Air conditioning with cooling and heating,,,Yes,1170 kg,"Driver frontal airbag, Front passenger frontal airbag",2,10.5:1,Rear sensors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
